# Listed companies matched to week 4 clients and filing firms by exact normalized name; SIC from the SEC submissions API, NAICS sector by week04_sec.sector_of_sic().
key,cik,ticker,sec_name,sic,sic_description,naics2,filings
Home Depot,0000354950,HD,"HOME DEPOT, INC.",5211,Retail-Lumber & Other Building Materials Dealers,44-45,1378
FEIN 042564110,0000319201,KLAC,KLA CORP,3827,Optical Instruments & Lenses,31-33,1369
FEIN 770467272,0001065280,NFLX,NETFLIX INC,7841,Services-Video Tape Rental,71,1362
LPL Financial,0001397911,LPLA,LPL Financial Holdings Inc.,6200,"Security & Commodity Brokers, Dealers, Exchanges & Services",52,1355
FEIN 770148231,0000813672,CDNS,CADENCE DESIGN SYSTEMS INC,7372,Services-Prepackaged Software,51,1336
Macy's,0000794367,M,"Macy's, Inc.",5311,Retail-Department Stores,44-45,1318
John Deere,0000315189,DE,DEERE & CO,3523,Farm Machinery & Equipment,31-33,1308
Southwest Airlines,0000092380,LUV,SOUTHWEST AIRLINES CO,4512,"Air Transportation, Scheduled",48-49,1305
Prudential,0001137774,PRU,PRUDENTIAL FINANCIAL INC,6311,Life Insurance,52,1288
FEIN 942819853,0000769397,ADSK,"Autodesk, Inc.",7372,Services-Prepackaged Software,51,1271
UnitedHealth Group,0000731766,UNH,UNITEDHEALTH GROUP INC,6324,Hospital & Medical Service Plans,52,1252
PepsiCo,0000077476,PEP,PEPSICO INC,2080,Beverages,31-33,1246
Honeywell,0000773840,HON,HONEYWELL INTERNATIONAL INC,3724,Aircraft Engines & Engine Parts,31-33,1235
McKesson,0000927653,MCK,MCKESSON CORP,5122,"Wholesale-Drugs, Proprietaries & Druggists' Sundries",42,1223
FEIN 942634797,0000707549,LRCX,LAM RESEARCH CORP,3559,"Special Industry Machinery, NEC",31-33,1174
Kroger,0000056873,KR,KROGER CO,5411,Retail-Grocery Stores,44-45,1167
Cardinal Health,0000721371,CAH,CARDINAL HEALTH INC,5122,"Wholesale-Drugs, Proprietaries & Druggists' Sundries",42,1159
FEIN 800429876,0001512673,XYZ,"Block, Inc.",7372,Services-Prepackaged Software,51,1154
FEIN 593797948,0001650372,TEAM,Atlassian Corp,7372,Services-Prepackaged Software,51,1152
Chevron,0000093410,CVX,CHEVRON CORP,2911,Petroleum Refining,31-33,1144
FEIN 901020167,0001766502,CHWY,"Chewy, Inc.",5961,Retail-Catalog & Mail-Order Houses,44-45,1100
UPS,0001090727,UPS,UNITED PARCEL SERVICE INC,4210,Trucking & Courier Services (No Air),48-49,1055
FEIN 043432319,0001086222,AKAM,AKAMAI TECHNOLOGIES INC,7389,"Services-Business Services, NEC",56,1051
FEIN 223658826,0001398659,G,Genpact LTD,8742,Services-Management Consulting Services,54,1019
FEIN 263051428,0001559720,ABNB,"Airbnb, Inc.",7340,Services-To Dwellings & Other Buildings,56,1016
Marriott,0001048286,MAR,MARRIOTT INTERNATIONAL INC /MD/,7011,Hotels & Motels,72,1012
FEIN 042348234,0000006281,ADI,ANALOG DEVICES INC,3674,Semiconductors & Related Devices,31-33,1009
