# Corporate families and sectors for the most frequent H-1B clients, FY2022 to FY2025.
# name = week04_names.normalize() key; naics2 = NAICS 2022 sector. Proposed by Claude from public knowledge of each company in two passes on 23 Sep 2026 (the 300 most frequent clients, then the next 230); to be reviewed.
name,canonical,naics2
COMCAST CABLE COMMUNICATIONS MANAGEMENT,Comcast,51
NBC UNIVERSAL,Comcast,51
UNITED AIRLINES,United Airlines,48-49
RENEWAL REHAB,Renewal Rehab,62
MICROSOFT,Microsoft,51
JOHNSON AND JOHNSON,Johnson & Johnson,31-33
JOHNSON AND JOHNSON SERVICES,Johnson & Johnson,31-33
DEPUY SYNTHES,Johnson & Johnson,31-33
NORTHERN TRUST,Northern Trust,52
JP MORGAN CHASE,JPMorgan Chase,52
JPMORGAN CHASE BANK NATIONAL ASSOCIATION,JPMorgan Chase,52
JPMORGAN CHASE,JPMorgan Chase,52
JPMORGAN CHASE BANK,JPMorgan Chase,52
FISERV,Fiserv,52
FISERV SOLUTIONS,Fiserv,52
PNC BANK,PNC,52
PNC FINANCIAL SERVICES,PNC,52
PNC BANK NATIONAL ASSOCIATION,PNC,52
PFIZER,Pfizer,31-33
NIKE,Nike,31-33
ABBVIE,AbbVie,31-33
EQUIFAX,Equifax,56
CIGNA,Cigna,52
CIGNA CORPORATE SERVICES,Cigna,52
CIGNA HEALTHCARE,Cigna,52
GOLDMAN SACHS,Goldman Sachs,52
CUMMINS,Cummins,31-33
AMERICAN AIRLINES,American Airlines,48-49
HCL AMERICA,HCL,54
DELOITTE,Deloitte,54
DELOITTE CONSULTING,Deloitte,54
FEDEX CORPORATE SERVICES,FedEx,48-49
FEDEX,FedEx,48-49
PEPSICO,PepsiCo,31-33
KAISER PERMANENTE,Kaiser Permanente,62
KAISER FOUNDATION HOSPITALS,Kaiser Permanente,62
STATE FARM MUTUAL AUTOMOBILE INSURANCE,State Farm,52
STATE FARM INSURANCE,State Farm,52
STATE FARM,State Farm,52
STATE STREET BANK AND TRUST,State Street,52
STATE STREET,State Street,52
HOME DEPOT,Home Depot,44-45
MERCK,Merck,31-33
MERCK SHARP AND DOHME,Merck,31-33
DISCOVER FINANCIAL SERVICES,Discover Financial,52
CENTENE,Centene,52
PEOPLE TECH,People Tech Group,54
TOYOTA MOTOR NORTH AMERICA,Toyota,31-33
TOYOTA,Toyota,31-33
TOYOTA MOTORS NORTH AMERICA,Toyota,31-33
TOYOTA MOTOR SALES,Toyota,31-33
TOYOTA FINANCIAL SERVICES,Toyota,31-33
KROGER,Kroger,44-45
TRAVELERS,Travelers,52
TRAVELERS INDEMNITY,Travelers,52
GENERAL MOTORS,General Motors,31-33
ELI LILLY,Eli Lilly,31-33
MASTERCARD,Mastercard,52
ABBOTT LABORATORIES,Abbott,31-33
ABBOTT,Abbott,31-33
DELTA AIRLINES,Delta Air Lines,48-49
DELTA AIR LINES,Delta Air Lines,48-49
GILEAD SCIENCES,Gilead Sciences,31-33
MEDTRONIC,Medtronic,31-33
SOUTHWEST AIRLINES,Southwest Airlines,48-49
TRUIST FINANCIAL,Truist,52
TRUIST BANK,Truist,52
TRUIST,Truist,52
SUNTRUST BANKS,Truist,52
CITIZENS BANK,Citizens Bank,52
FIFTH THIRD BANK,Fifth Third Bank,52
WALGREEN,Walgreens,44-45
WALGREENS,Walgreens,44-45
US BANK,U.S. Bank,52
US BANK NATIONAL ASSOCIATION,U.S. Bank,52
BANK OF NEW YORK MELLON,BNY Mellon,52
BNY MELLON,BNY Mellon,52
7 ELEVEN,7-Eleven,44-45
CHEVRON,Chevron,21
CHEVRON GLOBAL SERVICES,Chevron,21
INFODAT INTERNATIONAL,Infodat International,54
CGI,CGI,54
NATIONWIDE MUTUAL INSURANCE,Nationwide,52
MCKESSON,McKesson,42
LIBERTY MUTUAL INSURANCE,Liberty Mutual,52
BRISTOL MYERS SQUIBB,Bristol Myers Squibb,31-33
INTUIT,Intuit,51
MARRIOTT INTERNATIONAL,Marriott,72
CAPITAL GROUP COMPANIES,Capital Group,52
STELLANTIS,Stellantis,31-33
FCA,Stellantis,31-33
PACIFIC GAS AND ELECTRIC,PG&E,22
HARTFORD FINANCIAL SERVICES,The Hartford,52
HARTFORD FIRE INSURANCE,The Hartford,52
INTEL,Intel,31-33
PRICEWATERHOUSECOOPERS,PwC,54
LPL FINANCIAL,LPL Financial,52
METLIFE,MetLife,52
METLIFE SERVICES AND SOLUTIONS,MetLife,52
METROPOLITAN LIFE INSURANCE,MetLife,52
BEST BUY,Best Buy,44-45
HP,HP,31-33
HEALTH CARE SERVICE,Health Care Service Corporation,52
MIRACLE SOFTWARE SYSTEMS,Miracle Software Systems,54
OPTUM,UnitedHealth Group,52
UNITED HEALTHCARE SERVICES,UnitedHealth Group,52
UNITED HEALTH,UnitedHealth Group,52
NATIONAL INSTITUTES OF HEALTH,National Institutes of Health,92
ALLY FINANCIAL,Ally Financial,52
WORLD BANK,World Bank,92
REGENERON PHARMACEUTICALS,Regeneron,31-33
META PLATFORMS,Meta,51
FACEBOOK,Meta,51
AMAZON,Amazon,44-45
SOUTHERN CALIFORNIA EDISON,Southern California Edison,22
PAYPAL,PayPal,52
UNITED PARCEL SERVICE,UPS,48-49
UNITED PARCEL SERVICE OASIS SUPPLY,UPS,48-49
AMGEN,Amgen,31-33
NEW YORK LIFE INSURANCE,New York Life,52
BARCLAYS,Barclays,52
QUEST DIAGNOSTICS,Quest Diagnostics,62
TD BANK,TD Bank,52
BOEING,Boeing,31-33
DAVITA,DaVita,62
PROCTER AND GAMBLE,Procter & Gamble,31-33
STATE OF MICHIGAN,State of Michigan,92
NISSAN NORTH AMERICA,Nissan,31-33
DISH NETWORK,DISH Network,51
COX COMMUNICATIONS,Cox Communications,51
DEPOSITORY TRUST AND CLEARING,DTCC,52
GENERAL ELECTRIC,GE,31-33
GE HEALTHCARE,GE,31-33
BNSF RAILWAY,BNSF Railway,48-49
MOLINA HEALTHCARE,Molina Healthcare,52
APPLIED MATERIALS,Applied Materials,31-33
AMERICAN HONDA MOTOR,Honda,31-33
HONDA DEVELOPMENT AND MANUFACTURING OF AMERICA,Honda,31-33
ONCOR ELECTRIC DELIVERY,Oncor,22
NAVISTAR,Navistar,31-33
BP CORPORATION NORTH AMERICA,BP,21
AMERIPRISE FINANCIAL,Ameriprise Financial,52
KEYBANK NATIONAL ASSOCIATION,KeyBank,52
SAFEWAY,Albertsons,44-45
ALBERTSONS COMPANIES,Albertsons,44-45
HEWLETT PACKARD ENTERPRISE,Hewlett Packard Enterprise,31-33
KPMG,KPMG,54
BECTON DICKINSON,Becton Dickinson,31-33
FLORIDA POWER AND LIGHT,Florida Power & Light,22
CREDIT ONE BANK,Credit One Bank,52
VISIONET SYSTEMS,Visionet Systems,54
STRYKER,Stryker,31-33
STARBUCKS,Starbucks,72
PRUDENTIAL FINANCIAL,Prudential,52
PRUDENTIAL INSURANCE COMPANY OF AMERICA,Prudential,52
GAP,Gap,44-45
DUKE ENERGY,Duke Energy,22
DEUTSCHE BANK,Deutsche Bank,52
CSX TECHNOLOGY,CSX,48-49
JOHN DEERE,John Deere,31-33
MACY S SYSTEMS AND TECHNOLOGY,Macy's,44-45
GENENTECH,Genentech,31-33
CARDINAL HEALTH,Cardinal Health,42
BLUE SHIELD OF CALIFORNIA,Blue Shield of California,52
VOLKSWAGEN GROUP OF AMERICA,Volkswagen,31-33
UBS AG,UBS,52
UBS FINANCIAL SERVICES,UBS,52
EBAY,eBay,44-45
SAMSUNG ELECTRONICS AMERICA,Samsung,31-33
GENUINE PARTS,Genuine Parts,42
EDWARD JONES,Edward Jones,52
COCA COLA,Coca-Cola,31-33
INDEPENDENCE BLUE CROSS,Independence Blue Cross,52
SEI GLOBAL SERVICES,SEI,52
SEI INVESTMENTS,SEI,52
HONEYWELL,Honeywell,31-33
WILLIAMS SONOMA,Williams-Sonoma,44-45
3M,3M,31-33
HORIZON BLUE CROSS BLUE SHIELD OF NEW JERSEY,Horizon BCBS New Jersey,52
INFOSYS,Infosys,54
MEIJER,Meijer,44-45
TEACHERS INSURANCE AND ANNUITY ASSOCIATION OF AMERICA,TIAA,52
COSTCO WHOLESALE,Costco,44-45
FINRA,FINRA,52
STANDARD INSURANCE,Standard Insurance,52
GLOBAL PAYMENTS,Global Payments,52
FIRST DATA,Global Payments,52
BOSTON SCIENTIFIC,Boston Scientific,31-33
DANA FARBER CANCER INSTITUTE,Dana-Farber Cancer Institute,62
FARMERS INSURANCE,Farmers Insurance,52
BLUE CROSS BLUE SHIELD OF MICHIGAN,BCBS Michigan,52
THERMO FISHER SCIENTIFIC,Thermo Fisher Scientific,31-33
STAPLES,Staples,44-45
ORION SYSTEMS INTEGRATORS,Orion Systems Integrators,54
ACCENTURE,Accenture,54
AIG TECHNOLOGIES,AIG,52
ERIE INDEMNITY,Erie Insurance,52
ERIE INSURANCE,Erie Insurance,52
JOHNSON CONTROLS,Johnson Controls,31-33
NRG ENERGY,NRG Energy,22
CREDIT SUISSE,Credit Suisse,52
CAREFIRST BLUECROSS BLUESHIELD,CareFirst BCBS,52
ASSURANT,Assurant,52
T ROWE PRICE,T. Rowe Price,52
HCA INFORMATION TECHNOLOGY AND SERVICES,HCA Healthcare,62
NORFOLK SOUTHERN,Norfolk Southern,48-49
ERNST AND YOUNG,EY,54
MCDONALD S,McDonald's,72
NORTHWESTERN MUTUAL,Northwestern Mutual,52
IBM,IBM,54
JM FAMILY ENTERPRISES,JM Family Enterprises,42
LINCOLN NATIONAL,Lincoln Financial,52
CHUBB,Chubb,52
FROEDTERT HOSPITAL,Froedtert Hospital,62
TJX COMPANIES,TJX,44-45
COLLINS AEROSPACE,Collins Aerospace,31-33
CARGILL,Cargill,31-33
VISA,Visa,52
NATIONAL GRID,National Grid,22
WALT DISNEY,Disney,51
CITY OF NEW YORK,City of New York,92
GRADY MEMORIAL HOSPITAL,Grady Memorial Hospital,62
RIVIAN AUTOMOTIVE,Rivian,31-33
ARCHER DANIELS MIDLAND,Archer Daniels Midland,31-33
BAYER,Bayer,31-33
EXXONMOBIL,ExxonMobil,21
PRIME THERAPEUTICS,Prime Therapeutics,52
LUCID MOTORS,Lucid Motors,31-33
SYRAINFOTEK LLC DBA CLOUDQ,SyraInfotek (CloudQ),54
STATE OF MARYLAND DEPARTMENT OF HUMAN SERVICES,Maryland Department of Human Services,92
WASTE MANAGEMENT,Waste Management,56
ROCKWELL AUTOMATION,Rockwell Automation,31-33
CONDUENT,Conduent,56
MERCEDES BENZ FINANCIAL SERVICES,Mercedes-Benz Financial Services,52
EXPERIAN,Experian,56
SANTANDER CONSUMER,Santander,52
CARRIER,Carrier,31-33
OTIS ELEVATOR,Otis,31-33
GREAT AMERICAN INSURANCE,Great American Insurance,52
HUNTINGTON NATIONAL BANK,Huntington Bank,52
CBRE,CBRE,53
ALLSTATE INSURANCE,Allstate,52
CENTERPOINT ENERGY,CenterPoint Energy,22
STATE OF CALIFORNIA,State of California,92
WELLSFARGO,Wells Fargo,52
WELLS FARGO GLOBAL THIRD PARTY,Wells Fargo,52
CAPITALONE,Capital One,52
CAPITAL ONE FINANCIAL,Capital One,52
MASTER CARD,Mastercard,52
FIDELITY INVESTMENT,Fidelity Investments,52
META,Meta,51
JPMC,JPMorgan Chase,52
CVS,CVS Health,44-45
CVS HEALTH CORP AETNA,CVS Health,44-45
AETNA,CVS Health,44-45
MACY S,Macy's,44-45
MACYS SYSTEMS AND TECHNOLOGY,Macy's,44-45
MORGAN STANLEY SMITH BARNEY,Morgan Stanley,52
MORGAN STANLEY AND CO LLC MORGAN STANLEY,Morgan Stanley,52
US BANCORP,U.S. Bank,52
TOYOTA MOTOR CREDIT,Toyota,31-33
HONDA,Honda,31-33
HONDA R AND D,Honda,31-33
DEERE,John Deere,31-33
TEACHERS INSURANCE AND ANNUITY,TIAA,52
TEACHERS INSURANCE AND ANNUITY ASSOCIATION OF AMERICA TIAA,TIAA,52
TIAA FINANCIAL,TIAA,52
EY GLOBAL,EY,54
HEWLETT PACKARD,HP,31-33
HARTFORD,The Hartford,52
LIBERTY MUTUAL,Liberty Mutual,52
NATIONWIDE INSURANCE,Nationwide,52
ALBERTSONS,Albertsons,44-45
SAMSUNG,Samsung,31-33
SAMSUNG SDS,Samsung,31-33
CHARTER COMMUNICATION,Charter Communications,51
VERIZON DATA,Verizon,51
DISH PURCHASING,DISH Network,51
UNITEDHEALTH,UnitedHealth Group,52
ELEVANCE HEALTH INC ANTHEM,Elevance Health,52
WALMART LABS,Walmart,44-45
FIAT CHRYSLER AUTOMOBILES,Stellantis,31-33
GE PRECISION HEALTHCARE,GE,31-33
CARDINAL HEALTH 5,Cardinal Health,42
DISNEY WORLDWIDE,Disney,51
FARMERS,Farmers Insurance,52
AIG GLOBAL,AIG,52
AIG,AIG,52
LINKEDIN,Microsoft,51
EXPRESS SCRIPTS,Cigna,52
INTERNATIONAL MOTORS,Navistar,31-33
EXXON MOBIL,ExxonMobil,21
CLOUDQ,SyraInfotek (CloudQ),54
COGNIZANT,Cognizant,54
TECH MAHINDRA,Tech Mahindra,54
COMERICA,Comerica,52
LUMEN,Lumen,51
DELL,Dell,31-33
CNH INDUSTRIAL,CNH Industrial,31-33
ADP,ADP,54
ADOBE,Adobe,51
AMERISOURCEBERGEN,AmerisourceBergen,42
SWIFT,SWIFT,52
MOODY S,Moody's,52
TRACTOR SUPPLY,Tractor Supply,44-45
FIRST CITIZENS BANK AND TRUST,First Citizens Bank,52
VIZIO,Vizio,31-33
SIGMA REHAB,Sigma Rehab,62
ULTIMATE THERAPY,Ultimate Therapy,62
EXPEDIA,Expedia,56
XEROX,Xerox,31-33
CONSOLIDATED EDISON COMPANY OF NEW YORK,Con Edison,22
TAKEDA PHARMACEUTICALS,Takeda,31-33
WELLMARK,Wellmark,52
LEVI STRAUSS,Levi Strauss,31-33
VERTEX PHARMACEUTICALS,Vertex Pharmaceuticals,31-33
NATIONAL INSTITUTE OF STANDARDS AND TECHNOLOGY,NIST,92
PHILLIPS 66,Phillips 66,31-33
INTEGRITY MARKETING,Integrity Marketing,52
EXELON,Exelon,22
QUALCOMM,Qualcomm,31-33
SPIRIT AEROSYSTEMS,Spirit AeroSystems,31-33
EVERSOURCE ENERGY,Eversource Energy,22
NAVY FEDERAL CREDIT UNION,Navy Federal Credit Union,52
SONY PICTURES ENTERTAINMENT,Sony Pictures,51
DTE ENERGY,DTE Energy,22
FLAGSTAR,Flagstar,52
DAIMLER TRUCKS,Daimler Truck,31-33
CHANGE HEALTHCARE,Change Healthcare,54
MIZUHO,Mizuho,52
NEXTERA ENERGY,NextEra Energy,22
NEXTERA ENERGY RESOURCES,NextEra Energy,22
SHERWIN WILLIAMS,Sherwin-Williams,31-33
FIRST REPUBLIC,First Republic,52
AMERICAN FAMILY MUTUAL INSURANCE,American Family Insurance,52
OCHSNER LSU HEALTH SHREVEPORT,Ochsner LSU Health Shreveport,62
AMTRAK,Amtrak,48-49
FLORIDA BLUE,Florida Blue,52
SYSCO,Sysco,42
SEPHORA,Sephora,44-45
DIRECTV,DirecTV,51
COX AUTOMOTIVE,Cox Automotive,54
ADVANCED MICRO DEVICES,AMD,31-33
MARATHON PETROLEUM,Marathon Petroleum,31-33
STATE COMPENSATION INSURANCE FUND,State Compensation Insurance Fund,52
S AND P,S&P Global,52
CATALENT PHARMA,Catalent,31-33
HENRY COUNTY SCHOOLS,Henry County Schools,61
HANOVER INSURANCE,Hanover Insurance,52
AMERIHEALTH CARITAS,AmeriHealth Caritas,52
SANTANDER,Santander,52
WESTERN UNION,Western Union,52
WESTERN UNION FINANCIAL,Western Union,52
INSPIRE BRANDS,Inspire Brands,72
BROADRIDGE FINANCIAL,Broadridge,52
INTUITIVE SURGICAL,Intuitive Surgical,31-33
BOSTON CHILDREN S HOSPITAL,Boston Children's Hospital,62
ASURION,Asurion,52
DELTA DENTAL,Delta Dental,52
TRANE,Trane,31-33
SATYA SOFT,Satya Soft,54
PACIFIC LIFE INSURANCE,Pacific Life,52
M AND T,M&T Bank,52
NVIDIA,Nvidia,31-33
XCEL ENERGY,Xcel Energy,22
AMERICAN ELECTRIC POWER,American Electric Power,22
ALASKA AIRLINES,Alaska Airlines,48-49
ALLEGIS,Allegis,56
EATON,Eaton,31-33
GAINWELL,Gainwell,54
CORTEVA AGRISCIENCE,Corteva,31-33
SILICON VALLEY,SVB,52
SVB FINANCIAL,SVB,52
INGRAM MICRO,Ingram Micro,42
NATIONAL OILWELL VARCO,NOV,31-33
EMBLEMHEALTH,EmblemHealth,52
NEIMAN MARCUS,Neiman Marcus,44-45
HALLIBURTON,Halliburton,21
HALLIBURTON ENERGY,Halliburton,21
LEIDOS,Leidos,54
BIOGEN,Biogen,31-33
ZOETIS,Zoetis,31-33
AVIS BUDGET CAR RENTAL,Avis Budget,53
COMMONWEALTH OF KENTUCKY,Commonwealth of Kentucky,92
LEXISNEXIS,LexisNexis,51
UNUM,Unum,52
TRAVELPORT,Travelport,51
NOKIA,Nokia,31-33
SUBWAY,Subway,72
CONTINENTAL CASUALTY,CNA,52
KEURIG DR PEPPER,Keurig Dr Pepper,31-33
RHODE ISLAND HOSPITAL,Rhode Island Hospital,62
NESTLE,Nestle,31-33
JEFFERIES,Jefferies,52
INTERNATIONAL MONETARY FUND,International Monetary Fund,92
NISOURCE,NiSource,22
KEMPER,Kemper,52
BROADCOM,Broadcom,31-33
ZIMMER BIOMET,Zimmer Biomet,31-33
HYUNDAI CAPITAL,Hyundai Capital,52
LUTRON ELECTRONICS,Lutron,31-33
STATE OF TENNESSEE,State of Tennessee,92
TAPESTRY,Tapestry,44-45
ARKANSAS CHILDREN S HOSPITAL,Arkansas Children's Hospital,62
NOVARTIS PHARMA AG,Novartis,31-33
PARKER HANNIFIN,Parker Hannifin,31-33
FIRST HORIZON,First Horizon,52
SALESFORCE,Salesforce,51
NEW YORK STATE DEPARTMENT OF LABOR,New York State Department of Labor,92
MICRON,Micron,31-33
NEW YORK STATE DEPARTMENT OF HEALTH,New York State Department of Health,92
DUN AND BRADSTREET,Dun & Bradstreet,56
FRONTIER COMMUNICATIONS,Frontier Communications,51
ASML,ASML,31-33
CORELOGIC,CoreLogic,54
MIRIAM HOSPITAL,Miriam Hospital,62
TRANSAMERICA,Transamerica,52
MARS,Mars,31-33
WOLTERS KLUWER,Wolters Kluwer,51
ULINE,Uline,42
SHELL,Shell,21
WHIRLPOOL,Whirlpool,31-33
STATE OF NEW YORK,State of New York,92
MUNICH RE,Munich Re,52
MEMORIAL HERMANN HEALTH SYSTEM,Memorial Hermann,62
SCHNEIDER ELECTRIC,Schneider Electric,31-33
SEMPRA ENERGY,Sempra,22
STATE OF OHIO,State of Ohio,92
ARISTA NETWORKS,Arista Networks,31-33
GLAXOSMITHKLINE,GSK,31-33
VISTEX,Vistex,54
C AND S WHOLESALE GROCERS,C&S Wholesale Grocers,42
WELLINGTON MANAGEMENT,Wellington Management,52
ELMHURST HOSPITAL CENTER,Elmhurst Hospital,62
MARKEL,Markel,52
FIS GLOBAL,FIS,52
FIS,FIS,52
SIEMENS HEALTHINEERS,Siemens Healthineers,31-33
BMO HARRIS,BMO,52
SANOFI,Sanofi,31-33
MARYLAND HEALTH BENEFIT EXCHANGE,Maryland Health Benefit Exchange,92
MONDELEZ,Mondelez,31-33
ABERCROMBIE AND FITCH,Abercrombie & Fitch,44-45
MEMORIAL SLOAN KETTERING CANCER CENTER,Memorial Sloan Kettering,62
DISCOUNT TIRE,Discount Tire,44-45
BLUE CROSS BLUE SHIELD,Blue Cross Blue Shield (unspecified),52
BLUE CROSS AND BLUE SHIELD,Blue Cross Blue Shield (unspecified),52
L OREAL,L'Oreal,31-33
PAYCHEX,Paychex,54
MUFG,MUFG,52
AMEREN,Ameren,22
AUTO CLUB,AAA Auto Club,52
VEENUS INFOTECHS,Veenus Infotechs,54
QUANTRION,Quantrion,54
V SOFT,V Soft,54
MERCEDES BENZ,Mercedes-Benz,31-33
BAXTER HEALTHCARE,Baxter,31-33
BAXTER,Baxter,31-33
