node_id,name,degree,stranded,largest_remaining_group
Black_Rider_(character),Black Rider (character),4,0,276
Bug_(Marvel_Comics),Bug (Marvel Comics),4,0,276
Cammi_(character),Cammi (character),4,0,276
Crippler_(character),Crippler (character),4,0,276
Darkdevil,Darkdevil,4,0,276
Gremlin_(comics),Gremlin (comics),4,0,276
Hit-Monkey,Hit-Monkey,4,0,276
Hulk_2099,Hulk 2099,4,0,276
Jack_Monroe_(character),Jack Monroe (character),4,0,276
Kid_Colt,Kid Colt,4,0,276
Korvus,Korvus,4,0,276
Lei_Kung_(character),Lei Kung (character),4,0,276
Motormouth_(comics),Motormouth (comics),4,0,276
Nightwatch_(character),Nightwatch (character),4,0,276
Power_Man_(Victor_Alvarez),Power Man (Victor Alvarez),4,0,276
Powerhouse_(Marvel_Comics),Powerhouse (Marvel Comics),4,0,276
Ravage_2099,Ravage 2099,4,0,276
Rusty_Collins,Rusty Collins,4,0,276
Steel_Spider,Steel Spider,4,0,276
Thin_Man_(character),Thin Man (character),4,0,276
Thor_Girl,Thor Girl,4,0,276
Typeface_(character),Typeface (character),4,0,276
Ursa_Major_(character),Ursa Major (character),4,0,276
Zombie_(comics),Zombie (comics),4,0,276
Balder_the_Brave,Balder the Brave,3,0,276
Battlestar_(character),Battlestar (character),3,0,276
Blue_Bullet,Blue Bullet,3,0,276
Box_(comics),Box (comics),3,0,276
Captain_Marvel_(Khn'nr),Captain Marvel (Khn'nr),3,0,276
Caretaker_(comics),Caretaker (comics),3,0,276
Citizen_V,Citizen V,3,0,276
Crane_Mother,Crane Mother,3,0,276
Fabio_Medina,Fabio Medina,3,0,276
Flatman_(character),Flatman (character),3,0,276
G._W._Bridge,G. W. Bridge,3,0,276
Golem_(Marvel_Comics),Golem (Marvel Comics),3,0,276
Hawkeye_(comics),Hawkeye (comics),3,0,276
Inferno_(Dante_Pertuz),Inferno (Dante Pertuz),3,0,276
Killpower,Killpower,3,0,276
Magician_(Marvel_Comics),Magician (Marvel Comics),3,0,276
Marvel_Boy_(Robert_Grayson),Marvel Boy (Robert Grayson),3,0,276
Oya_(comics),Oya (comics),3,0,276
Peggy_Carter,Peggy Carter,3,0,276
Skull_the_Slayer,Skull the Slayer,3,0,276
Spider-Man_(Marvel_Mangaverse),Spider-Man (Marvel Mangaverse),3,0,276
Starr_the_Slayer,Starr the Slayer,3,0,276
Thena,Thena,3,0,276
Ulysses_Bloodstone,Ulysses Bloodstone,3,0,276
White_Tiger_(Heroes_for_Hire),White Tiger (Heroes for Hire),3,0,276
Wild_Child_(character),Wild Child (character),3,0,276
Will_o'_the_Wisp_(comics),Will o' the Wisp (comics),3,0,276
Alex_Wilder,Alex Wilder,2,0,276
Blackwulf,Blackwulf,2,0,276
Coldblood,Coldblood,2,0,276
Dargo_Ktor,Dargo Ktor,2,0,276
Devil_Hulk,Devil Hulk,2,0,276
Dragon_Lord_(character),Dragon Lord (character),2,0,276
Emrys_Killebrew,Emrys Killebrew,2,0,276
Fandral,Fandral,2,0,276
Firelord_(character),Firelord (character),2,0,276
Hrimhari,Hrimhari,2,0,276
Junior_Juniper,Junior Juniper,2,0,276
Ruby_Summers,Ruby Summers,2,0,276
Scarlet_Scarab,Scarlet Scarab,2,0,276
Scorpio_(Marvel_Comics),Scorpio (Marvel Comics),2,0,276
Silencer_(comics),Silencer (comics),2,0,276
Silhouette_(comics),Silhouette (comics),2,0,276
Straw_Man_(comics),Straw Man (comics),2,0,276
Synapse_(character),Synapse (character),2,0,276
The_Union_(Marvel),The Union (Marvel),2,0,276
Thunderbolt_(Marvel_Comics),Thunderbolt (Marvel Comics),2,0,276
Timeslip_(comics),Timeslip (comics),2,0,276
Black_Jack_Tarr,Black Jack Tarr,1,0,276
Blue_Eagle_(character),Blue Eagle (character),1,0,276
Captain_Ultra,Captain Ultra,1,0,276
Detroit_Steel,Detroit Steel,1,0,276
Digitek_(character),Digitek (character),1,0,276
Dogpool,Dogpool,1,0,276
Enigma_(Marvel_Comics),Enigma (Marvel Comics),1,0,276
Ethan_Edwards,Ethan Edwards,1,0,276
Force_(comics),Force (comics),1,0,276
Helix_(Marvel_Comics),Helix (Marvel Comics),1,0,276
Mahr_Vehl,Mahr Vehl,1,0,276
Mark_Hazzard:_Merc,Mark Hazzard: Merc,1,0,276
Moonglow_(comics),Moonglow (comics),1,0,276
NFL_SuperPro,Phil Grayfield,1,0,276
Redneck_(comics),Redneck (comics),1,0,276
Solomon_Kane_(comics),Solomon Kane (comics),1,0,276
The_Witness_(character),The Witness (character),1,0,276
Thunderclap_(comics),Thunderclap (comics),1,0,276
