seed,Spider-Man,Hulk,Black_Widow_(Natasha_Romanova),Doctor_Strange
2026091187,4,1,0,2
2026091188,2,1,1,1
2026091189,3,1,0,0
2026091190,2,1,0,1
2026091191,0,2,0,2
2026091193,2,0,0,0
2026091194,3,1,0,1
2026091195,1,1,0,0
2026091196,4,0,1,1
2026091197,2,0,0,1
2026091198,1,2,0,0
2026091199,2,0,1,1
2026091201,0,0,0,0
2026091202,4,0,0,1
2026091204,2,0,0,2
2026091205,1,0,0,0
2026091206,5,2,0,2
2026091207,1,2,0,0
2026091208,1,0,0,1
2026091209,2,0,0,0
2026091210,1,0,0,0
2026091211,2,1,0,0
2026091212,2,1,1,0
2026091213,3,0,1,2
2026091214,1,2,0,0
2026091215,2,0,0,1
2026091216,2,0,0,0
2026091217,0,1,0,1
2026091218,2,0,0,0
2026091219,0,0,0,1
2026091220,3,1,0,1
2026091221,1,0,1,0
2026091222,1,1,1,0
2026091223,3,1,0,1
2026091224,2,0,1,0
2026091225,1,1,1,0
2026091226,2,0,0,0
2026091227,2,1,0,0
2026091228,2,0,0,0
2026091229,1,1,0,0
2026091230,0,1,0,0
2026091231,2,1,0,0
2026091232,3,0,0,1
2026091233,3,0,0,1
2026091234,1,0,0,0
2026091235,3,1,0,0
2026091236,1,0,1,2
2026091237,3,1,1,0
2026091238,2,2,0,0
2026091239,1,0,0,0
2026091240,3,2,0,0
2026091241,4,0,0,0
2026091242,2,1,0,0
2026091243,2,0,2,1
2026091244,1,0,1,1
2026091245,2,0,0,0
2026091246,1,0,0,1
2026091247,0,1,0,1
2026091248,1,1,0,0
2026091249,0,0,0,0
2026091250,3,1,0,0
2026091251,1,1,0,0
2026091252,2,1,0,0
2026091253,1,0,0,1
2026091254,2,1,0,2
2026091255,2,0,0,1
2026091256,2,0,1,2
2026091257,0,0,0,1
2026091258,0,0,0,3
2026091259,1,1,0,2
2026091260,1,0,0,1
2026091261,1,1,1,0
2026091262,1,1,0,0
2026091263,2,1,0,0
2026091264,1,2,0,0
2026091265,0,2,0,0
2026091266,0,0,0,1
2026091267,1,0,0,0
2026091268,0,0,2,0
2026091269,2,1,0,0
2026091270,1,2,1,0
2026091271,1,1,0,0
2026091272,1,1,1,1
2026091273,0,1,0,0
2026091274,2,1,0,0
2026091275,4,1,1,0
2026091276,0,0,0,2
2026091277,1,0,1,0
2026091278,3,0,0,0
2026091279,2,2,0,1
2026091280,2,0,0,0
2026091281,1,2,0,0
2026091282,0,0,1,0
2026091283,2,0,1,1
2026091284,2,1,0,0
2026091285,0,0,0,0
2026091286,1,0,1,0
2026091287,1,0,0,1
2026091288,1,0,1,1
2026091290,1,1,0,0
2026091291,0,2,0,0
2026091292,0,0,0,0
2026091294,1,0,0,1
2026091295,1,1,0,0
2026091296,2,0,0,0
2026091297,3,0,0,0
2026091298,1,1,0,2
2026091299,2,2,0,1
2026091300,0,1,0,0
2026091301,2,0,1,0
2026091302,1,0,0,0
2026091303,1,0,1,1
2026091304,0,2,0,0
2026091305,2,0,0,0
2026091306,2,3,0,0
2026091307,0,0,0,0
2026091308,1,0,1,0
2026091309,1,0,0,0
2026091310,2,0,0,0
2026091311,1,2,0,0
2026091312,0,0,0,1
2026091313,2,1,1,0
2026091314,0,1,1,2
2026091315,1,0,0,0
2026091316,2,0,0,1
2026091317,2,1,0,0
2026091318,0,0,0,1
2026091319,1,0,2,1
2026091320,2,0,0,1
2026091321,2,0,1,0
2026091322,2,0,0,1
2026091323,4,0,0,0
2026091324,0,0,0,1
2026091325,3,0,0,1
2026091326,2,1,0,0
2026091327,2,0,0,0
2026091328,3,2,0,1
2026091329,1,0,0,2
2026091330,0,2,1,0
2026091331,0,0,0,0
2026091332,2,1,0,1
2026091333,0,2,0,0
2026091334,2,0,0,1
2026091335,1,0,1,0
2026091336,1,0,1,2
2026091337,1,0,0,0
2026091338,2,0,0,1
2026091339,2,0,0,1
2026091340,0,0,0,1
2026091341,2,0,0,3
2026091342,0,1,0,1
2026091343,1,1,0,2
2026091344,1,0,1,0
2026091346,1,1,0,1
2026091347,0,0,0,1
2026091348,2,2,0,0
2026091349,1,1,0,0
2026091350,0,3,1,1
2026091351,1,0,1,0
2026091352,1,1,0,0
2026091353,3,1,1,1
2026091354,1,0,0,0
2026091355,1,1,0,1
2026091356,4,1,0,0
2026091357,0,1,0,0
2026091358,2,0,0,1
2026091359,2,0,1,1
2026091360,3,3,0,0
2026091361,3,1,0,1
2026091362,0,0,0,1
2026091363,2,2,0,0
2026091364,4,0,0,0
2026091365,2,0,0,1
2026091366,2,1,0,1
2026091367,0,0,0,1
2026091368,2,0,0,2
2026091369,2,1,0,1
2026091370,1,0,0,0
2026091371,0,0,0,2
2026091372,0,0,0,1
2026091373,0,0,0,0
2026091374,0,0,0,0
2026091375,0,0,0,2
2026091376,1,0,0,0
2026091377,4,0,0,0
2026091378,2,3,0,0
2026091379,0,0,0,2
2026091380,1,0,0,0
2026091381,0,1,0,1
2026091382,2,0,1,0
2026091383,4,0,0,0
2026091384,1,1,0,0
2026091385,2,0,0,0
2026091386,2,2,0,0
2026091387,1,0,0,0
2026091388,2,1,0,1
2026091389,2,1,1,0
2026091390,3,1,0,0
2026091391,1,0,0,0
2026091392,2,0,1,4
2026091393,2,0,0,0
2026091394,2,0,0,0
2026091395,0,0,1,1
2026091396,1,1,0,0
2026091397,2,0,0,0
2026091398,2,0,0,0
2026091399,1,1,0,0
2026091400,2,0,0,2
2026091401,1,0,0,0
2026091402,3,0,0,0
2026091403,0,0,0,2
2026091404,3,0,0,1
2026091405,2,2,0,0
2026091406,1,3,0,1
2026091407,2,0,1,1
2026091408,4,0,0,1
2026091409,3,2,0,1
2026091410,0,0,0,1
2026091411,1,1,0,1
2026091412,0,1,0,0
2026091413,0,0,0,0
2026091415,0,0,0,2
2026091416,2,1,0,0
2026091417,3,0,0,1
2026091418,4,0,0,0
2026091419,1,0,0,0
2026091420,1,1,1,0
2026091421,2,0,0,0
2026091422,1,1,0,0
2026091423,1,2,1,0
2026091424,2,0,0,1
2026091425,2,0,0,0
2026091426,2,1,0,0
2026091427,1,1,2,0
2026091428,1,0,1,0
2026091429,2,1,0,0
2026091430,2,0,0,0
2026091431,0,0,0,1
2026091432,2,0,0,1
2026091433,0,1,0,0
2026091434,3,0,0,0
2026091435,1,0,0,0
2026091436,2,0,0,1
2026091437,2,2,0,1
2026091438,0,0,0,0
2026091439,3,1,1,0
2026091440,1,0,0,2
2026091441,1,0,0,0
2026091442,1,2,0,0
2026091443,1,1,0,2
2026091444,0,1,0,1
2026091445,0,0,0,0
2026091446,1,0,0,2
2026091447,2,0,0,0
2026091448,1,0,0,1
2026091449,2,0,0,0
2026091450,1,1,0,0
2026091451,0,1,0,0
2026091452,1,0,1,0
2026091453,0,1,0,0
2026091454,1,0,1,0
2026091455,0,0,0,0
2026091456,3,0,1,0
2026091457,1,1,0,0
2026091459,0,0,0,0
2026091460,2,1,2,0
2026091461,2,0,0,0
2026091462,1,0,0,0
2026091463,2,2,1,2
2026091464,3,0,0,1
2026091465,1,0,0,1
2026091466,2,0,0,3
2026091467,4,1,0,1
2026091468,0,0,1,0
2026091469,0,0,0,1
2026091470,1,1,0,0
2026091471,1,0,0,0
2026091472,2,0,1,0
2026091473,1,0,0,1
2026091475,1,0,0,0
2026091476,1,0,0,1
2026091477,1,1,0,0
2026091478,3,2,0,0
2026091479,3,0,0,1
2026091480,2,1,2,0
2026091481,5,0,0,0
2026091482,2,1,1,0
2026091483,2,0,0,0
2026091484,2,0,0,0
2026091485,3,0,0,0
2026091486,0,0,0,0
2026091487,4,0,0,1
2026091488,2,0,1,1
2026091489,2,1,0,2
2026091490,2,3,0,2
2026091491,2,0,0,0
2026091492,1,0,0,1
2026091493,1,1,0,1
2026091494,1,2,1,0
2026091495,2,2,0,1
2026091496,0,1,0,0
2026091497,1,2,0,1
2026091498,2,0,1,1
2026091499,1,0,0,0
2026091500,0,0,1,1
2026091501,0,0,0,1
2026091502,3,1,1,0
2026091503,3,0,0,1
2026091504,2,0,0,0
2026091505,2,0,0,0
2026091506,2,0,0,1
2026091507,1,0,1,2
2026091508,0,0,0,0
2026091509,0,1,1,1
2026091510,2,1,0,0
2026091511,0,0,0,1
2026091512,2,0,1,1
2026091513,1,1,0,0
2026091514,1,1,0,0
2026091515,1,2,0,0
2026091516,0,3,0,1
2026091517,4,0,1,0
2026091518,0,1,0,0
2026091519,0,1,0,1
2026091520,1,0,0,1
2026091521,1,1,0,0
2026091522,2,1,0,0
2026091525,2,2,0,0
2026091526,2,0,1,1
2026091527,1,0,2,1
2026091528,4,1,0,0
2026091529,2,0,0,2
2026091530,1,1,0,1
2026091531,3,1,0,0
2026091532,1,1,0,0
2026091533,1,0,0,1
2026091534,2,0,0,1
2026091535,1,0,1,1
2026091536,5,0,0,0
2026091537,1,0,1,1
2026091538,1,0,1,0
2026091539,0,0,0,0
2026091540,1,0,0,0
2026091541,4,0,0,0
2026091542,0,1,0,0
2026091543,1,0,0,3
2026091544,0,1,0,0
2026091545,1,0,0,0
2026091546,0,0,1,0
2026091547,1,0,0,0
2026091548,2,1,0,1
2026091549,0,1,0,0
2026091550,2,3,0,0
2026091551,2,0,0,1
2026091552,0,1,0,2
2026091553,0,2,1,0
2026091555,1,0,0,2
2026091556,1,0,0,1
2026091557,4,0,1,0
2026091558,1,0,0,1
2026091559,1,0,0,0
2026091560,2,1,0,0
2026091561,3,0,0,0
2026091562,3,2,0,0
2026091563,1,1,0,1
2026091564,5,0,1,0
2026091565,3,1,0,0
2026091566,1,0,0,1
2026091567,1,0,0,1
2026091569,1,0,1,1
2026091570,4,0,0,0
2026091571,1,0,0,0
2026091572,1,0,0,2
2026091573,1,2,0,0
2026091574,2,2,0,0
2026091575,0,0,0,2
2026091576,1,0,0,1
2026091577,3,0,1,0
2026091578,1,0,0,1
2026091579,1,1,0,1
2026091580,2,1,0,0
2026091581,2,1,0,2
2026091582,1,0,0,4
2026091583,0,0,0,0
2026091584,3,2,0,0
2026091585,3,0,0,0
2026091586,1,0,0,0
2026091588,0,1,0,1
2026091589,0,0,0,2
2026091590,1,1,0,0
2026091591,2,1,0,0
2026091592,0,0,0,0
2026091593,1,0,0,1
2026091595,0,1,0,0
2026091596,0,1,2,1
2026091597,4,0,0,0
2026091598,1,1,0,1
2026091599,0,0,0,1
2026091600,1,2,0,2
2026091601,0,1,0,0
2026091602,0,0,1,0
2026091603,1,0,0,0
2026091604,2,0,0,1
2026091605,3,0,0,0
2026091606,0,1,0,0
2026091607,2,1,0,1
2026091608,1,1,1,0
2026091609,0,2,0,0
2026091610,1,0,0,0
2026091611,2,0,0,1
2026091612,0,1,0,0
2026091613,0,0,1,2
2026091615,1,0,1,0
2026091616,1,0,0,2
2026091617,4,0,0,0
2026091618,0,1,0,1
2026091619,1,0,1,2
2026091620,3,0,0,1
2026091621,1,0,0,1
2026091622,2,1,0,1
2026091623,2,0,0,2
2026091624,1,1,0,1
2026091625,0,0,0,0
2026091627,2,0,0,0
2026091628,0,0,1,0
2026091629,2,0,0,1
2026091630,2,0,0,0
2026091631,0,2,0,1
2026091632,1,1,0,0
2026091633,0,2,0,0
2026091634,2,0,0,0
2026091635,3,0,0,0
2026091636,2,1,0,1
2026091637,3,0,1,0
2026091638,1,1,0,1
2026091639,4,0,0,0
2026091640,2,0,1,0
2026091641,1,0,1,2
2026091642,1,1,0,0
2026091643,1,0,0,0
2026091644,0,1,0,0
2026091645,3,0,0,2
2026091646,1,2,0,1
2026091647,1,0,0,0
2026091648,1,0,0,0
2026091649,2,0,0,0
2026091650,1,1,0,0
2026091651,0,0,0,0
2026091652,1,1,0,1
2026091653,2,2,0,0
2026091654,1,1,0,0
2026091655,1,1,0,0
2026091656,1,1,0,1
2026091657,2,0,0,2
2026091658,2,0,0,0
2026091659,1,1,2,0
2026091660,2,0,0,0
2026091661,0,0,0,0
2026091662,3,1,0,1
2026091663,0,1,2,2
2026091664,1,0,0,0
2026091665,1,1,0,1
2026091666,3,2,0,0
2026091667,2,0,0,0
2026091668,2,0,1,0
2026091669,0,0,0,0
2026091671,2,0,0,0
2026091672,1,1,0,0
2026091673,1,1,1,2
2026091674,1,1,1,0
2026091675,1,2,0,0
2026091676,3,0,1,1
2026091677,1,1,0,1
2026091678,1,1,0,0
2026091679,0,0,1,0
2026091680,4,0,0,0
2026091681,1,1,0,1
2026091682,0,1,0,2
2026091683,1,2,1,1
2026091684,5,0,0,1
2026091685,3,0,0,0
2026091686,4,1,0,1
2026091687,1,0,0,0
2026091688,2,0,0,1
2026091689,1,0,0,0
2026091690,0,1,0,1
2026091691,1,0,1,0
2026091692,4,1,0,0
2026091693,0,1,1,0
2026091694,2,1,0,0
2026091695,0,0,0,1
2026091696,2,0,0,1
2026091697,2,0,0,1
2026091698,0,1,0,1
2026091699,1,1,0,2
2026091700,2,0,0,0
2026091701,3,0,0,1
2026091702,1,1,0,0
2026091703,1,1,1,0
2026091704,0,0,0,0
2026091705,1,2,0,0
2026091706,0,2,0,1
2026091707,1,0,0,0
2026091709,4,1,0,1
2026091710,0,2,0,1
2026091711,0,0,0,2
2026091712,1,0,0,1
2026091713,2,0,0,1
2026091714,3,1,0,0
2026091715,1,2,0,0
2026091716,0,1,1,0
2026091717,1,3,1,0
2026091718,0,0,0,0
2026091719,1,0,0,0
2026091720,1,0,0,1
2026091721,2,0,0,1
2026091722,1,0,0,0
2026091723,2,1,0,0
2026091724,0,0,0,0
2026091725,3,0,0,0
2026091726,0,2,0,2
2026091727,1,0,0,2
2026091728,2,0,0,0
2026091729,4,0,0,0
2026091730,2,1,0,1
2026091731,0,0,0,0
2026091732,3,0,0,0
2026091733,1,0,0,1
2026091734,2,4,1,0
2026091735,1,0,0,1
2026091736,1,0,1,1
2026091737,2,1,0,0
2026091738,0,1,1,1
2026091739,2,0,0,0
2026091740,1,0,0,0
2026091741,1,2,0,0
2026091742,0,1,1,0
2026091743,1,1,0,0
2026091744,1,0,0,0
2026091745,0,0,0,1
2026091746,1,0,0,0
2026091747,1,1,0,0
2026091748,0,2,0,0
2026091749,1,1,0,1
2026091750,2,1,0,0
2026091751,0,0,0,0
2026091752,2,1,0,0
2026091753,2,0,1,1
2026091754,0,2,0,0
2026091755,0,0,0,0
2026091756,2,0,0,0
2026091757,0,1,0,1
2026091758,4,1,0,0
2026091759,2,1,0,0
2026091760,0,0,0,1
2026091761,1,0,0,1
2026091762,1,0,0,0
2026091763,1,0,0,1
2026091764,2,0,0,0
2026091766,1,1,0,3
2026091767,2,1,0,0
2026091768,1,0,0,1
2026091769,0,0,0,0
2026091770,1,0,0,1
2026091771,0,1,1,0
2026091772,1,1,0,1
2026091773,0,2,0,0
2026091774,1,0,0,0
2026091775,3,1,1,0
2026091776,2,0,0,2
2026091777,1,0,0,0
2026091778,3,1,1,2
2026091779,1,1,0,1
2026091780,0,0,0,1
2026091781,2,0,0,0
2026091782,1,0,0,0
2026091783,0,2,0,0
2026091784,4,0,0,1
2026091785,3,1,0,1
2026091786,1,0,0,1
2026091787,1,2,0,1
2026091788,1,1,0,2
2026091789,4,0,1,0
2026091790,1,0,0,0
2026091791,3,0,2,0
2026091792,3,0,0,0
2026091793,1,0,0,0
2026091794,1,2,0,1
2026091795,3,1,0,1
2026091796,0,1,0,0
2026091797,2,0,0,0
2026091798,0,0,0,0
2026091799,1,0,1,0
2026091800,3,2,0,0
2026091801,2,0,0,1
2026091802,0,1,0,0
2026091803,2,3,0,0
2026091804,2,0,0,1
2026091805,2,2,1,0
2026091806,2,1,0,1
2026091807,2,0,0,0
2026091808,0,0,0,0
2026091809,2,0,0,1
2026091810,0,1,0,0
2026091811,1,0,0,0
2026091812,1,0,0,2
2026091813,4,1,0,1
2026091814,3,0,0,1
2026091815,3,0,0,0
2026091816,3,0,0,1
2026091817,2,2,0,0
2026091818,2,0,0,0
2026091819,0,1,0,1
2026091820,0,0,0,0
2026091821,0,0,0,0
2026091822,0,0,0,1
2026091823,1,0,1,1
2026091824,1,0,0,0
2026091825,0,0,0,3
2026091826,1,0,2,0
2026091827,1,0,0,1
2026091828,1,1,0,0
2026091829,2,0,1,0
2026091830,1,0,0,1
2026091831,0,2,1,0
2026091832,3,0,0,0
2026091833,2,1,0,1
2026091834,3,1,0,0
2026091835,2,0,0,2
2026091836,1,0,0,0
2026091837,4,0,0,1
2026091838,1,0,0,0
2026091839,0,0,1,1
2026091840,1,3,1,1
2026091841,0,0,1,0
2026091842,4,1,0,1
2026091843,1,1,0,0
2026091844,0,1,0,0
2026091845,2,1,0,1
2026091846,4,0,0,0
2026091847,1,0,0,2
2026091848,0,0,0,0
2026091849,1,0,1,1
2026091850,1,1,0,1
2026091851,4,0,0,0
2026091852,2,0,0,0
2026091853,1,3,1,0
2026091854,1,1,0,0
2026091855,1,0,0,0
2026091856,4,0,0,1
2026091857,0,0,0,0
2026091858,5,0,1,0
2026091859,2,0,0,0
2026091860,2,1,0,0
2026091861,0,0,1,1
2026091862,4,0,0,1
2026091863,1,1,0,0
2026091864,1,0,0,0
2026091865,3,0,0,0
2026091866,1,0,0,0
2026091867,1,0,0,0
2026091868,1,2,0,0
2026091869,2,0,1,0
2026091870,3,1,0,0
2026091871,1,1,0,0
2026091872,1,1,0,2
2026091873,2,0,0,0
2026091874,0,0,1,1
2026091875,1,0,0,1
2026091876,0,0,0,1
2026091877,3,0,0,0
2026091878,2,1,1,0
2026091879,0,0,0,0
2026091880,0,1,1,1
2026091881,2,0,0,0
2026091882,2,1,1,0
2026091883,2,0,0,2
2026091884,3,0,0,1
2026091885,0,0,0,0
2026091886,2,1,1,0
2026091887,0,1,0,0
2026091888,1,0,1,0
2026091889,1,0,0,0
2026091890,3,2,0,0
2026091891,1,1,0,1
2026091892,2,0,0,1
2026091893,1,0,1,0
2026091894,1,1,0,0
2026091895,3,0,1,1
2026091896,1,0,0,0
2026091897,3,1,0,0
2026091898,3,1,0,0
2026091899,1,0,0,0
2026091900,1,2,0,0
2026091901,1,0,0,1
2026091902,1,1,1,0
2026091903,1,0,0,0
2026091904,3,0,0,1
2026091905,1,0,2,1
2026091906,1,2,0,1
2026091907,3,2,1,1
2026091908,2,0,0,1
2026091909,3,2,0,1
2026091910,1,2,0,0
2026091911,1,0,0,0
2026091912,1,2,0,0
2026091913,0,0,1,1
2026091914,3,1,1,0
2026091915,1,2,0,0
2026091916,1,2,0,3
2026091918,1,0,0,1
2026091919,2,1,0,0
2026091920,2,2,0,0
2026091921,1,1,0,1
2026091922,5,0,0,1
2026091923,2,0,1,1
2026091924,0,0,0,1
2026091925,0,1,0,1
2026091926,1,0,0,0
2026091927,1,0,0,0
2026091928,2,0,1,0
2026091929,2,0,0,0
2026091930,2,0,0,0
2026091931,0,0,0,0
2026091932,4,0,0,0
