# World Bank open data, one row per country. The year each indicator came from is in the column name.
iso3	name	population_2024	net_migration_2024	migrant_stock_2024	migrant_stock_pct_2024	remittances_received_usd_2024	remittances_sent_usd_2024	remittances_received_pct_gdp_2024	gdp_per_capita_usd_2024	gdp_growth_pct_2024	urban_population_pct_2024	unemployment_pct_2024
OMN	Oman	5281538	154219	2283366	43.2	39011703.5110533	9184884710.013	0.0364128463172104	20285.2272765262	1.63163231397978	79.4440302814714	3.203
PAK	Pakistan	251269164	-1401173	4175958	1.7	34914000000	352000000	9.39186913640518	1479.47755241191	3.08176295579301	39.1734368360905	5.492
PAN	Panama	4515577	6706	477749	10.6	531591166.76	596169824	0.61438608714797	19161.218843129	2.74784148771307	65.9958447685488	8.451
PCN	Pitcairn											
PER	Peru	34217848	18406	1837219	5.4	4933771110.13101	331196017.392857	1.69108666823012	8526.29665719783	3.5152749274832	85.1912729600355	5.199
PHL	Philippines	115843670	-160373	87212	0.1	40279405932.4327	268879630.201638	8.72469619181708	3985.29464669706	5.71474526128652	55.4520983215477	2.202
PLW	Palau	17695	-14	5212	29.5				18169.0767165866	12.0059720184866	79.2095042878667	
PNG	Papua New Guinea	10576502	-707	31171	0.3	3866122.23809085	83666253.003242	0.012550726704419	2912.4914068385	3.88795324667848	15.4061816403333	2.625
POL	Poland	36559233	-238062	1739901	4.5	8690000000	7815000000	0.946863310070558	25103.565661423	3.02841630700273	59.9705468695101	2.807
PRI	Puerto Rico	3202521	11561	223323	6.9				39353.2242360643	3.17707554784896	94.2539505199436	5.639
PRK	Korea, Democratic People's Republic of	26498823	-2473	50439	0.2						63.8589748211522	3.539
PRT	Portugal	10694681	20648	1127184	10.8	1841653246.17608	482204902.940125	0.587155371046403	29328.3067415343	2.21459232301109	61.3281907341332	6.5
PRY	Paraguay	6929153	-12451	180837	2.6	1136457643.26291	79507130.4268417	2.54020481421082	6456.60723068562	4.66914577981763	69.8622585886961	5.686
PSE	Palestine, State of	5289152	-23145	272481	5	735607751.55753	9330391.39838291	4.59269741059462	3028.25481286981	-22.8573273913324	87.1196014117004	
PYF	French Polynesia	281807	-1261	30099	10.7				22439.8838746025	1.12638897730247	61.7191984724331	11.613
QAT	Qatar	2857822	46105	2337000	76.7	1443131868.13186	11512087912.0878	0.667206901457106	75685.0865779973	3.10963283242745	99.3219891728394	0.13
REU	Réunion											
ROU	Romania	19051804	-28466	655579	3.4	9526364210.94972	2108527424.46345	2.490134665764	20080.2096215595	0.916003764382594	52.1674778928768	5.4
RUS	Russian Federation	143669648	-178042	7605774	5.3	1815510000	8270710000	0.0830341335359767	14961.8974609375	4.92167966203073	75.1119136177067	2.43
RWA	Rwanda	14256567	-15582	513316	3.6	517043903.454705	100015536.116138	3.42162469319446	1059.93709298801	7.22717103344534	29.8849714294083	11.331
SAU	Saudi Arabia	35300280	122170	13683841	40.3	338466642.8878	46564898867.2613	0.0269879301341444	35527.786181866	2.64893068308965	84.4554020211443	3.518
SDN	Sudan	50448963	-544257	2397113	4.8				984.607666015625	-13.9643378424022	34.8673015510839	
SEN	Senegal	18501984	-10307	281867	1.5				1738.73223822106	6.46220577412338	55.2368169057304	2.788
SGP	Singapore	6036860	20011	2841665	48.7				94896.5621495988	5.3435120192366	100	2.737
SGS	South Georgia and the South Sandwich Islands											
SHN	Saint Helena, Ascension and Tristan da Cunha											
SJM	Svalbard and Jan Mayen											
